########################################################################
#Created by valorso on vangogh2 at 09:47 on 2025.03.26
#data lvl 2
#Station = BAMBEY
#Country = SENEGAL
#Latitude = 14.70
#Longitude = -16.47
#Institution = lisa
#Missing value = NA
#data_available=8310
#PM10_doi = Marticorena, B., Dorego, G. S., Rajot, J. L., Bouet, C., Allègre, M., Chatenet, B., Féron, A., Gaimoz, C., Maisonneuve, F., Siour, G., Valorso, R., Diop, M., Der Ba, S., Rokhy N'Diaye, G., Séné, M. & Thiam, A. (2021). PM10 concentration, Bambey, Senegal [Data set]. Aeris. https://doi.org/10.25326/267
########################################################################
#Date Time PM10(µg/m3) ndata_PM10
2024-01-01 01:00 46.54 12
2024-01-01 02:00 44.88 12
2024-01-01 03:00 46.59 12
2024-01-01 04:00 44.67 12
2024-01-01 05:00 39.49 12
2024-01-01 06:00 36.09 12
2024-01-01 07:00 31.77 12
2024-01-01 08:00 49.27 12
2024-01-01 09:00 63.62 12
2024-01-01 10:00 64.62 12
2024-01-01 11:00 78.07 12
2024-01-01 12:00 90.11 12
2024-01-01 13:00 91.34 12
2024-01-01 14:00 75.58 12
2024-01-01 15:00 64.94 12
2024-01-01 16:00 62 12
2024-01-01 17:00 61.67 12
2024-01-01 18:00 84.58 12
2024-01-01 19:00 99.31 12
2024-01-01 20:00 84.72 12
2024-01-01 21:00 71.84 12
2024-01-01 22:00 68.55 12
2024-01-01 23:00 63.25 12
2024-01-02 00:00 46 12
2024-01-02 01:00 40.98 12
2024-01-02 02:00 42.92 12
2024-01-02 03:00 42.13 12
2024-01-02 04:00 46.61 12
2024-01-02 05:00 43.69 12
2024-01-02 06:00 43.36 12
2024-01-02 07:00 39.31 12
2024-01-02 08:00 40.75 12
2024-01-02 09:00 56.49 12
2024-01-02 10:00 62.09 12
2024-01-02 11:00 68.99 12
2024-01-02 12:00 66.97 12
2024-01-02 13:00 80.17 12
2024-01-02 14:00 83.95 12
2024-01-02 15:00 78.11 12
2024-01-02 16:00 71.66 12
2024-01-02 17:00 59.23 12
2024-01-02 18:00 61.43 12
2024-01-02 19:00 80.79 12
2024-01-02 20:00 76.25 12
2024-01-02 21:00 67.5 12
2024-01-02 22:00 93.3 12
2024-01-02 23:00 50.17 12
2024-01-03 00:00 36.1 12
2024-01-03 01:00 30.82 12
2024-01-03 02:00 24.29 12
2024-01-03 03:00 23.96 12
2024-01-03 04:00 28.37 12
2024-01-03 05:00 32.27 12
2024-01-03 06:00 35.38 12
2024-01-03 07:00 26.23 12
2024-01-03 08:00 28.92 12
2024-01-03 09:00 47.99 12
2024-01-03 10:00 56.08 12
2024-01-03 11:00 84.92 12
2024-01-03 12:00 72.51 12
2024-01-03 13:00 67.64 12
2024-01-03 14:00 61.83 12
2024-01-03 15:00 62.03 12
2024-01-03 16:00 69.23 12
2024-01-03 17:00 64.91 12
2024-01-03 18:00 74.79 12
2024-01-03 19:00 78.97 12
2024-01-03 20:00 98.98 12
2024-01-03 21:00 78.22 12
2024-01-03 22:00 72.71 12
2024-01-03 23:00 68.54 12
2024-01-04 00:00 53.9 12
2024-01-04 01:00 30.42 12
2024-01-04 02:00 13.8 12
2024-01-04 03:00 14.36 12
2024-01-04 04:00 13.43 12
2024-01-04 05:00 11.41 12
2024-01-04 06:00 13.6 12
2024-01-04 07:00 12.92 12
2024-01-04 08:00 14.17 12
2024-01-04 09:00 24.14 12
2024-01-04 10:00 26.74 12
2024-01-04 11:00 24.84 12
2024-01-04 12:00 30.64 12
2024-01-04 13:00 49 12
2024-01-04 14:00 30.97 12
2024-01-04 15:00 33.31 12
2024-01-04 16:00 32.25 12
2024-01-04 17:00 36.49 12
2024-01-04 18:00 45.65 12
2024-01-04 19:00 69.42 12
2024-01-04 20:00 51.07 12
2024-01-04 21:00 85.98 12
2024-01-04 22:00 56.58 12
2024-01-04 23:00 39.51 12
2024-01-05 00:00 32.46 12
2024-01-05 01:00 30.44 12
2024-01-05 02:00 26.41 12
2024-01-05 03:00 23.23 12
2024-01-05 04:00 20.27 12
2024-01-05 05:00 18 12
2024-01-05 06:00 49.83 12
2024-01-05 07:00 36.43 12
2024-01-05 08:00 39.02 12
2024-01-05 09:00 54.72 12
2024-01-05 10:00 56.78 12
2024-01-05 11:00 63.58 12
2024-01-05 12:00 50.2 12
2024-01-05 13:00 49.21 12
2024-01-05 14:00 43.38 12
2024-01-05 15:00 40.72 12
2024-01-05 16:00 48.83 12
2024-01-05 17:00 48.54 12
2024-01-05 18:00 50.5 12
2024-01-05 19:00 80.65 12
2024-01-05 20:00 70.73 12
2024-01-05 21:00 80.43 12
2024-01-05 22:00 77.87 12
2024-01-05 23:00 49.52 12
2024-01-06 00:00 33.38 12
2024-01-06 01:00 29.15 12
2024-01-06 02:00 25.23 12
2024-01-06 03:00 26.51 12
2024-01-06 04:00 23.28 12
2024-01-06 05:00 21.31 12
2024-01-06 06:00 17.57 12
2024-01-06 07:00 17.45 12
2024-01-06 08:00 19.07 12
2024-01-06 09:00 55.92 12
2024-01-06 10:00 50.69 12
2024-01-06 11:00 75.15 12
2024-01-06 12:00 81.35 12
2024-01-06 13:00 58.92 12
2024-01-06 14:00 51.67 12
2024-01-06 15:00 55.51 12
2024-01-06 16:00 40.91 12
2024-01-06 17:00 36.92 12
2024-01-06 18:00 38.76 12
2024-01-06 19:00 66.55 12
2024-01-06 20:00 65.41 12
2024-01-06 21:00 86.03 12
2024-01-06 22:00 58.21 12
2024-01-06 23:00 54.14 12
2024-01-07 00:00 48 12
2024-01-07 01:00 49.92 12
2024-01-07 02:00 40.49 12
2024-01-07 03:00 42.64 12
2024-01-07 04:00 33.33 12
2024-01-07 05:00 28.12 12
2024-01-07 06:00 24.57 12
2024-01-07 07:00 16.68 12
2024-01-07 08:00 32.22 12
2024-01-07 09:00 50.99 12
2024-01-07 10:00 52.95 12
2024-01-07 11:00 59.98 12
2024-01-07 12:00 51.99 12
2024-01-07 13:00 51.78 12
2024-01-07 14:00 65.9 12
2024-01-07 15:00 51.96 12
2024-01-07 16:00 46.2 12
2024-01-07 17:00 49.84 12
2024-01-07 18:00 52.42 12
2024-01-07 19:00 71.63 12
2024-01-07 20:00 81.83 12
2024-01-07 21:00 67.23 12
2024-01-07 22:00 68.17 12
2024-01-07 23:00 59.28 12
2024-01-08 00:00 46.76 12
2024-01-08 01:00 48.67 12
2024-01-08 02:00 38.03 12
2024-01-08 03:00 28.04 12
2024-01-08 04:00 22.62 12
2024-01-08 05:00 6.45 12
2024-01-08 06:00 2.9 12
2024-01-08 07:00 9.32 12
2024-01-08 08:00 15.43 12
2024-01-08 09:00 16 12
2024-01-08 10:00 11.11 12
2024-01-08 11:00 18.06 12
2024-01-08 12:00 12.97 12
2024-01-08 13:00 24.31 12
2024-01-08 14:00 33.02 12
2024-01-08 15:00 35.5 12
2024-01-08 16:00 37.67 12
2024-01-08 17:00 38.46 12
2024-01-08 18:00 52.89 12
2024-01-08 19:00 66.92 12
2024-01-08 20:00 71.67 12
2024-01-08 21:00 81.7 12
2024-01-08 22:00 53.93 12
2024-01-08 23:00 37.41 12
2024-01-09 00:00 36.36 12
2024-01-09 01:00 23.67 12
2024-01-09 02:00 15.18 12
2024-01-09 03:00 15.68 12
2024-01-09 04:00 13.18 12
2024-01-09 05:00 0.96 12
2024-01-09 06:00 16.26 12
2024-01-09 07:00 10.35 12
2024-01-09 08:00 20.23 12
2024-01-09 09:00 35.48 12
2024-01-09 10:00 33.64 12
2024-01-09 11:00 29.26 12
2024-01-09 12:00 11.67 12
2024-01-09 13:00 10.96 12
2024-01-09 14:00 20.93 12
2024-01-09 15:00 20.58 12
2024-01-09 16:00 28.11 12
2024-01-09 17:00 31.1 12
2024-01-09 18:00 46.2 12
2024-01-09 19:00 70.13 12
2024-01-09 20:00 57.37 12
2024-01-09 21:00 56.91 12
2024-01-09 22:00 68.73 12
2024-01-09 23:00 59.3 12
2024-01-10 00:00 25.07 12
2024-01-10 01:00 22.76 12
2024-01-10 02:00 24.82 12
2024-01-10 03:00 22.76 12
2024-01-10 04:00 16.78 12
2024-01-10 05:00 17.44 12
2024-01-10 06:00 12.72 12
2024-01-10 07:00 9.27 12
2024-01-10 08:00 13.13 12
2024-01-10 09:00 13.96 12
2024-01-10 10:00 11.27 12
2024-01-10 11:00 20.88 12
2024-01-10 12:00 25.95 12
2024-01-10 13:00 31.12 12
2024-01-10 14:00 12.7 12
2024-01-10 15:00 18.23 12
2024-01-10 16:00 18.08 12
2024-01-10 17:00 25.03 12
2024-01-10 18:00 34.76 12
2024-01-10 19:00 61.78 12
2024-01-10 20:00 120.52 12
2024-01-10 21:00 49.24 12
2024-01-10 22:00 32.18 12
2024-01-10 23:00 32.43 12
2024-01-11 00:00 17.18 12
2024-01-11 01:00 5.89 12
2024-01-11 02:00 3.91 12
2024-01-11 03:00 5.24 12
