########################################################################
#Created by valorso on vangogh.lisa.u-pec.fr at 13:29 on 2023.04.24
#data lvl 2
#Station = BAMBEY
#Country = SENEGAL
#Latitude = 14.70
#Longitude = -16.47
#Institution = lisa
#Missing value = NA
#data_available=8178
#PM10_doi = Marticorena, B., Dorego, G. S., Rajot, J. L., Bouet, C., Chatenet, B., Féron, A., Gaimoz, C., Maisonneuve, F., Siour, G., Valorso, R., Diop, M., Der Ba, S., Rokhy N'Diaye, G., Séné, M., & Thiam, A. (2021). PM10 concentration, Bambey, Senegal [Data set]. Aeris. https://doi.org/10.25326/267  
########################################################################
#Date Time PM10(µg/m3) ndata_PM10
2021-01-01 01:00 37.25 12
2021-01-01 02:00 22.23 12
2021-01-01 03:00 10.77 12
2021-01-01 04:00 28.42 12
2021-01-01 05:00 37.1 12
2021-01-01 06:00 34.35 12
2021-01-01 07:00 39.39 12
2021-01-01 08:00 34.33 12
2021-01-01 09:00 49.79 12
2021-01-01 10:00 60.45 12
2021-01-01 11:00 67.93 12
2021-01-01 12:00 62.47 12
2021-01-01 13:00 58.09 12
2021-01-01 14:00 55.3 12
2021-01-01 15:00 49.94 12
2021-01-01 16:00 46.68 12
2021-01-01 17:00 108.23 12
2021-01-01 18:00 42.93 12
2021-01-01 19:00 105.28 12
2021-01-01 20:00 100.26 12
2021-01-01 21:00 190.19 12
2021-01-01 22:00 56.8 12
2021-01-01 23:00 56.48 12
2021-01-02 00:00 61.54 12
2021-01-02 01:00 65.88 12
2021-01-02 02:00 68.98 12
2021-01-02 03:00 70.68 12
2021-01-02 04:00 62.42 12
2021-01-02 05:00 62.13 12
2021-01-02 06:00 61.06 12
2021-01-02 07:00 55.35 12
2021-01-02 08:00 51.27 12
2021-01-02 09:00 55.49 12
2021-01-02 10:00 49.19 12
2021-01-02 11:00 51.72 12
2021-01-02 12:00 35.9 12
2021-01-02 13:00 33.05 12
2021-01-02 14:00 23.04 12
2021-01-02 15:00 18.18 12
2021-01-02 16:00 23.44 12
2021-01-02 17:00 18.77 12
2021-01-02 18:00 33.74 12
2021-01-02 19:00 135.59 12
2021-01-02 20:00 57.77 12
2021-01-02 21:00 36.56 12
2021-01-02 22:00 24.08 12
2021-01-02 23:00 27.56 12
2021-01-03 00:00 32.68 12
2021-01-03 01:00 32.32 12
2021-01-03 02:00 26.93 12
2021-01-03 03:00 23.62 12
2021-01-03 04:00 21.75 12
2021-01-03 05:00 25.03 12
2021-01-03 06:00 19.23 12
2021-01-03 07:00 6.53 12
2021-01-03 08:00 21.85 12
2021-01-03 09:00 28.38 12
2021-01-03 10:00 25.32 12
2021-01-03 11:00 32.01 12
2021-01-03 12:00 21.52 12
2021-01-03 13:00 15.05 12
2021-01-03 14:00 15.14 12
2021-01-03 15:00 28.57 12
2021-01-03 16:00 17.88 12
2021-01-03 17:00 17.9 12
2021-01-03 18:00 23.2 12
2021-01-03 19:00 30.01 12
2021-01-03 20:00 87.47 12
2021-01-03 21:00 32.03 12
2021-01-03 22:00 17.22 12
2021-01-03 23:00 20.76 12
2021-01-04 00:00 25.43 12
2021-01-04 01:00 24.82 12
2021-01-04 02:00 27.25 12
2021-01-04 03:00 28.97 12
2021-01-04 04:00 26.34 12
2021-01-04 05:00 25.62 12
2021-01-04 06:00 20.99 12
2021-01-04 07:00 14.03 12
2021-01-04 08:00 24.82 12
2021-01-04 09:00 36.6 12
2021-01-04 10:00 24.63 12
2021-01-04 11:00 31.02 12
2021-01-04 12:00 29.07 12
2021-01-04 13:00 29.95 12
2021-01-04 14:00 28.84 12
2021-01-04 15:00 20.07 12
2021-01-04 16:00 16.95 12
2021-01-04 17:00 16.77 12
2021-01-04 18:00 23.33 12
2021-01-04 19:00 36.64 12
2021-01-04 20:00 62.92 12
2021-01-04 21:00 80.63 12
2021-01-04 22:00 44.87 12
2021-01-04 23:00 25.28 12
2021-01-05 00:00 32.48 12
2021-01-05 01:00 22.23 12
2021-01-05 02:00 23.43 12
2021-01-05 03:00 36.48 12
2021-01-05 04:00 47.92 12
2021-01-05 05:00 18.92 12
2021-01-05 06:00 11.57 12
2021-01-05 07:00 19.2 12
2021-01-05 08:00 29.45 12
2021-01-05 09:00 45.47 12
2021-01-05 10:00 39.72 11
2021-01-05 11:00 11.25 4
2021-01-05 12:00 25.08 12
2021-01-05 13:00 35.42 12
2021-01-05 14:00 38.41 12
2021-01-05 15:00 36.4 12
2021-01-05 16:00 42.48 12
2021-01-05 17:00 41.81 12
2021-01-05 18:00 43.88 12
2021-01-05 19:00 58.15 12
2021-01-05 20:00 66.26 12
2021-01-05 21:00 56.92 12
2021-01-05 22:00 44.59 12
2021-01-05 23:00 42.27 12
2021-01-06 00:00 39.64 12
2021-01-06 01:00 38.03 12
2021-01-06 02:00 37.94 12
2021-01-06 03:00 36.16 12
2021-01-06 04:00 40.95 12
2021-01-06 05:00 43.32 12
2021-01-06 06:00 39.23 12
2021-01-06 07:00 39.85 12
2021-01-06 08:00 38.89 12
2021-01-06 09:00 47.44 12
2021-01-06 10:00 46.12 12
2021-01-06 11:00 64.63 12
2021-01-06 12:00 51.23 12
2021-01-06 13:00 35.06 12
2021-01-06 14:00 25.58 12
2021-01-06 15:00 20.82 12
2021-01-06 16:00 24.5 12
2021-01-06 17:00 21.66 12
2021-01-06 18:00 25.21 12
2021-01-06 19:00 48.71 12
2021-01-06 20:00 64.09 12
2021-01-06 21:00 52.87 12
2021-01-06 22:00 52.42 12
2021-01-06 23:00 38.33 12
2021-01-07 00:00 34.42 12
2021-01-07 01:00 35.27 12
2021-01-07 02:00 37.55 12
2021-01-07 03:00 36.5 12
2021-01-07 04:00 41.1 12
2021-01-07 05:00 39.88 12
2021-01-07 06:00 36.22 12
2021-01-07 07:00 32.92 12
2021-01-07 08:00 38.79 12
2021-01-07 09:00 60.69 12
2021-01-07 10:00 42.24 12
2021-01-07 11:00 45.12 12
2021-01-07 12:00 38.17 12
2021-01-07 13:00 31.84 12
2021-01-07 14:00 38.22 12
2021-01-07 15:00 32.29 12
2021-01-07 16:00 28.98 12
2021-01-07 17:00 26.39 12
2021-01-07 18:00 24.16 12
2021-01-07 19:00 27.98 12
2021-01-07 20:00 58.12 12
2021-01-07 21:00 44.71 12
2021-01-07 22:00 35.79 12
2021-01-07 23:00 26.09 12
2021-01-08 00:00 25.04 12
2021-01-08 01:00 19.53 12
2021-01-08 02:00 19.81 12
2021-01-08 03:00 18.41 12
2021-01-08 04:00 20.52 12
2021-01-08 05:00 19.36 12
2021-01-08 06:00 20.34 12
2021-01-08 07:00 19.8 12
2021-01-08 08:00 20.17 12
2021-01-08 09:00 25.31 12
2021-01-08 10:00 32.84 12
2021-01-08 11:00 49.77 12
2021-01-08 12:00 45.32 12
2021-01-08 13:00 31.28 12
2021-01-08 14:00 29.89 12
2021-01-08 15:00 28.56 12
2021-01-08 16:00 31.62 12
2021-01-08 17:00 32.8 12
2021-01-08 18:00 51.38 12
2021-01-08 19:00 46.61 12
2021-01-08 20:00 38.98 12
2021-01-08 21:00 26.02 12
2021-01-08 22:00 18.77 12
2021-01-08 23:00 16.46 12
2021-01-09 00:00 15.85 12
2021-01-09 01:00 13.93 12
2021-01-09 02:00 15.57 12
2021-01-09 03:00 16.75 12
2021-01-09 04:00 16.88 12
2021-01-09 05:00 14.49 12
2021-01-09 06:00 12.18 12
2021-01-09 07:00 12.25 12
2021-01-09 08:00 14.81 12
2021-01-09 09:00 16.15 12
2021-01-09 10:00 22.27 12
2021-01-09 11:00 39.98 12
2021-01-09 12:00 38.35 12
