########################################################################
#Created by valorso on vangogh2 at 14:48 on 2024.10.23
#data lvl 2
#Station = BAMBEY
#Country = SENEGAL
#Latitude = 14.70
#Longitude = -16.47
#Institution = lisa
#Missing value = NA
#data_available=8232
#PM10_doi = Marticorena, B., Dorego, G. S., Rajot, J. L., Bouet, C., Allègre, M., Chatenet, B., Féron, A., Gaimoz, C., Maisonneuve, F., Siour, G., Valorso, R., Diop, M., Der Ba, S., Rokhy N'Diaye, G., Séné, M. & Thiam, A. (2021). PM10 concentration, Bambey, Senegal [Data set]. Aeris. https://doi.org/10.25326/267
########################################################################
#Date Time PM10(µg/m3) ndata_PM10
2023-01-01 01:00 70.94 12
2023-01-01 02:00 84.83 12
2023-01-01 03:00 73.05 12
2023-01-01 04:00 72.67 12
2023-01-01 05:00 75.14 12
2023-01-01 06:00 74.25 12
2023-01-01 07:00 78.14 12
2023-01-01 08:00 95.52 12
2023-01-01 09:00 117.64 12
2023-01-01 10:00 128.78 12
2023-01-01 11:00 127.73 12
2023-01-01 12:00 115.71 12
2023-01-01 13:00 96.69 12
2023-01-01 14:00 72.12 12
2023-01-01 15:00 55.77 12
2023-01-01 16:00 55.35 12
2023-01-01 17:00 63.82 12
2023-01-01 18:00 70.48 12
2023-01-01 19:00 72.72 12
2023-01-01 20:00 86.99 12
2023-01-01 21:00 70.22 12
2023-01-01 22:00 52.04 12
2023-01-01 23:00 55.37 12
2023-01-02 00:00 53.37 12
2023-01-02 01:00 50.23 12
2023-01-02 02:00 47.72 12
2023-01-02 03:00 43.86 12
2023-01-02 04:00 56.59 12
2023-01-02 05:00 58.98 12
2023-01-02 06:00 65.82 12
2023-01-02 07:00 71.08 12
2023-01-02 08:00 84.19 12
2023-01-02 09:00 112.38 12
2023-01-02 10:00 94.78 12
2023-01-02 11:00 58.25 12
2023-01-02 12:00 71.44 12
2023-01-02 13:00 78.08 12
2023-01-02 14:00 84.53 12
2023-01-02 15:00 79.78 12
2023-01-02 16:00 85.12 12
2023-01-02 17:00 91.53 12
2023-01-02 18:00 99.34 12
2023-01-02 19:00 84.99 12
2023-01-02 20:00 94.31 12
2023-01-02 21:00 127.03 12
2023-01-02 22:00 148.21 12
2023-01-02 23:00 132.42 12
2023-01-03 00:00 95.67 12
2023-01-03 01:00 78.28 12
2023-01-03 02:00 72.49 12
2023-01-03 03:00 78.72 12
2023-01-03 04:00 62.34 12
2023-01-03 05:00 47.73 12
2023-01-03 06:00 51.8 12
2023-01-03 07:00 68.36 12
2023-01-03 08:00 97.17 12
2023-01-03 09:00 135.82 12
2023-01-03 10:00 112.19 12
2023-01-03 11:00 112.93 12
2023-01-03 12:00 125.08 12
2023-01-03 13:00 87.48 12
2023-01-03 14:00 74.95 12
2023-01-03 15:00 75.38 12
2023-01-03 16:00 75.97 12
2023-01-03 17:00 74.72 12
2023-01-03 18:00 78.12 12
2023-01-03 19:00 104.87 12
2023-01-03 20:00 115.97 12
2023-01-03 21:00 99.08 12
2023-01-03 22:00 77.35 12
2023-01-03 23:00 67.93 12
2023-01-04 00:00 55.75 12
2023-01-04 01:00 52.38 12
2023-01-04 02:00 55.33 12
2023-01-04 03:00 74.42 12
2023-01-04 04:00 50.36 12
2023-01-04 05:00 52.23 12
2023-01-04 06:00 54.61 12
2023-01-04 07:00 64.3 12
2023-01-04 08:00 81.08 12
2023-01-04 09:00 115.26 12
2023-01-04 10:00 163.68 12
2023-01-04 11:00 181.12 12
2023-01-04 12:00 198.43 12
2023-01-04 13:00 213.03 12
2023-01-04 14:00 175.22 12
2023-01-04 15:00 139.25 12
2023-01-04 16:00 105.67 12
2023-01-04 17:00 101.14 12
2023-01-04 18:00 96.51 12
2023-01-04 19:00 105.33 12
2023-01-04 20:00 105.92 12
2023-01-04 21:00 105.9 12
2023-01-04 22:00 97.83 12
2023-01-04 23:00 87.75 12
2023-01-05 00:00 72.37 12
2023-01-05 01:00 73.46 12
2023-01-05 02:00 79.89 12
2023-01-05 03:00 79.4 12
2023-01-05 04:00 79.82 12
2023-01-05 05:00 81.91 12
2023-01-05 06:00 91.83 12
2023-01-05 07:00 93.93 12
2023-01-05 08:00 107.16 12
2023-01-05 09:00 114.11 12
2023-01-05 10:00 122.68 12
2023-01-05 11:00 120.09 12
2023-01-05 12:00 118.17 4
2023-01-05 13:00 113.45 10
2023-01-05 14:00 118.38 12
2023-01-05 15:00 97.75 12
2023-01-05 16:00 79.56 12
2023-01-05 17:00 70.38 12
2023-01-05 18:00 68.15 12
2023-01-05 19:00 79.62 12
2023-01-05 20:00 94.12 12
2023-01-05 21:00 95.96 12
2023-01-05 22:00 91.17 12
2023-01-05 23:00 75.69 12
2023-01-06 00:00 74.67 12
2023-01-06 01:00 76.28 12
2023-01-06 02:00 77.8 12
2023-01-06 03:00 69.46 12
2023-01-06 04:00 65.72 12
2023-01-06 05:00 60.71 12
2023-01-06 06:00 59.53 12
2023-01-06 07:00 70.33 12
2023-01-06 08:00 61.42 12
2023-01-06 09:00 79.9 12
2023-01-06 10:00 95.26 12
2023-01-06 11:00 100.96 12
2023-01-06 12:00 110.92 12
2023-01-06 13:00 93.38 12
2023-01-06 14:00 78.06 12
2023-01-06 15:00 71.78 12
2023-01-06 16:00 79.17 12
2023-01-06 17:00 74.23 12
2023-01-06 18:00 68.75 12
2023-01-06 19:00 86.45 12
2023-01-06 20:00 105.76 12
2023-01-06 21:00 112.38 12
2023-01-06 22:00 108.81 12
2023-01-06 23:00 86.74 12
2023-01-07 00:00 80.52 12
2023-01-07 01:00 79.92 12
2023-01-07 02:00 89 12
2023-01-07 03:00 89.03 12
2023-01-07 04:00 84.97 12
2023-01-07 05:00 81.82 12
2023-01-07 06:00 75.07 12
2023-01-07 07:00 70.37 12
2023-01-07 08:00 77.53 12
2023-01-07 09:00 84.56 12
2023-01-07 10:00 98.77 12
2023-01-07 11:00 93.17 12
2023-01-07 12:00 100.38 12
2023-01-07 13:00 111.45 12
2023-01-07 14:00 116.61 12
2023-01-07 15:00 113.62 12
2023-01-07 16:00 97.33 12
2023-01-07 17:00 97.17 12
2023-01-07 18:00 106.19 12
2023-01-07 19:00 118.65 12
2023-01-07 20:00 199.29 12
2023-01-07 21:00 191.95 12
2023-01-07 22:00 112.8 12
2023-01-07 23:00 132.6 12
2023-01-08 00:00 111.56 12
2023-01-08 01:00 98.52 12
2023-01-08 02:00 102.76 12
2023-01-08 03:00 105.2 12
2023-01-08 04:00 97.86 12
