Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,07/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,99.9241333,99.96606445,99.99035645,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Africa Eastern and Southern,AFE,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,,,,,,,,,,,53.54408981,53.14673316,55.24831642,56.24883652,56.90381194,57.99392376,58.55677464,60.71683258,58.80852383,61.19457611,62.93779613,65.84189834,66.61529985,66.78413575,65.99958383,66.9954425,68.85949515,70.64395007,71.51978173,72.55357342,74.05419615,75.48312427,75.84780915,79.66110323,
Afghanistan,AFG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,,,,,,,,,,,73.4,74.8,76.1,77.5,78.8,74,81.6,83,89.9,85.9,82.8,86.6,95,92.2,98.7,92.5,99.5,99.5,98.8,99.5,99.5,99.5,95.9,96,
Africa Western and Central,AFW,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,,,,76.36926455,76.40155029,76.2106626,73.09719608,72.49861335,73.09920173,72.88241946,71.51536748,72.25518056,72.31875301,73.37024858,73.34474821,74.04428029,74.8095025,76.24714327,75.68442221,75.61958711,74.24883946,79.4385171,78.92274868,78.87544728,79.87838574,78.32036386,81.63325315,82.58114413,80.28932824,82.73147049,83.39039597,86.68244341,86.79538605,84.91774208,
Angola,AGO,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,,,,,,,,,,,44.9,30,47.7,49,50.4,51.8,53.3,66.1,61.3,57.7,73.6,82.5,70.3,68.6,51,64,67.9,69.4,65.3,72.2,73.6,75,76.2,77.9,
Albania,ALB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,100,96.1,96.3,96.6,96.8,97.1,97.4,97.7,98,98.3,98.7,99.1,99.5,99.9,99.9,100,100,100,100,100,100,100,100,100,100,
Andorra,AND,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Arab World,ARB,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,,,,,,,,,,,94.13619757,94.17268736,94.21709487,94.42879319,94.59288844,94.50645161,95.32188422,95.01749385,94.33069528,94.97891852,96.84492766,96.99869031,96.99157827,97.25280155,97.23460725,97.10355161,97.27962757,97.38024167,96.94148898,97.44880663,97.51802922,97.56872095,97.89345094,98.17004558,
United Arab Emirates,ARE,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Argentina,ARG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.1390152,94.41311646,94.68669891,94.9571228,95.22122955,95.47585297,95.7178421,95.94403839,96.15126801,96.33807373,96.2,96.3,96.5,96.7,96.9,97.1,97.3,97.6,97.9,98.2,98.8,99.2,99.4,99.7,100,99.9,100,100,100,100,100,100,100,100,
Armenia,ARM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,,,,,,,,,,,99.1,99.3,99.2,99.2,99.2,99.9,99.2,99.3,99.4,99.4,99.7,99.6,99.7,99.4,99.7,100,99.8,99.8,99.9,100,100,99.9,100,100,
American Samoa,ASM,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9,99.9,100,100,100,100,99.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Australia,AUS,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Austria,AUT,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
