Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,07/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,98.37377416,98.42825975,98.5017492,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Africa Eastern and Southern,AFE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,,,,,,,,,,,8.623663331,,,9.785571044,10.94222202,10.44073413,12.5627246,12.51407764,12.98113799,15.54905718,14.54125347,16.15896073,19.44286006,18.77507389,17.67294325,16.52755403,24.62775346,25.43209225,27.06192885,29.15428173,31.02208287,32.80913843,33.7839605,35.37521585,
Afghanistan,AFG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,,,,,,,,,,,,,,2.1,7.8,15.4,19.3,25,28,36.7,30.2,29.6,60.8,60.2,86.5,64.6,97.1,97.1,91.6,97.1,97.1,97.1,81.7,81.4,
Africa Western and Central,AFW,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,,,,12.15962657,12.47498631,12.88769147,12.72969146,15.12759244,14.33700519,18.02996162,16.74265,16.2219903,15.83963081,21.50774721,17.33013114,17.60888758,18.23159074,17.84832835,19.6054526,18.89479218,20.52299247,22.24621239,19.19439075,23.39405529,22.47513229,22.82038681,27.43181893,22.90207606,28.23931961,26.3549182,24.74229821,25.90441599,25.35726706,29.46281444,
Angola,AGO,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,,,,,,,,,,,3.5,9.5,2.8,2.3,1.7,1,0.7,,6.6,,,,,,,3.8,,,7.3,,,,,,
Albania,ALB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9,99.8,99.9,100,99.7,99.7,100,100,100,100,100,100,
Andorra,AND,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Arab World,ARB,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,,,53.93788442,56.14576761,57.40537511,57.12287804,59.45195729,60.28158392,61.73801494,62.71339285,68.74745226,70.37441833,69.97341968,71.81025475,68.1104543,69.7550507,73.39513809,70.00837784,69.80263841,70.77483335,74.48411032,74.75968218,73.85407079,79.75034805,78.34740829,79.03383364,79.95479312,82.65319547,83.49561011,83.92482739,81.95572672,82.25547549,82.36203188,83.97661665,
United Arab Emirates,ARE,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Argentina,ARG,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,78.89458832,79.25427097,79.77863509,80.33370066,80.93588634,81.60809342,82.36987684,83.24706202,84.26384069,85.43186463,91.8,88.6,92.6,92.9,93.2,93.4,93.6,93.8,94,94.2,98.6,97.8,96.1,95.4,100,97.6,99.3,100,99.9,100,100,100,100,100,
