Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,07/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,100,100,100,100,100,100,100,100,100,98.19975766,88.6996937,87.89979365,85.20000875,83.70058293,82.39979053,81.09979284,84.2729565,85.30046319,85.35299906,84.97946917,85.2028212,85.2028212,,,
Africa Eastern and Southern,AFE,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,80.96756992,79.76680318,81.08044431,82.8234303,82.01000922,81.46316318,81.78107343,81.74814755,79.10602326,78.94473368,78.1839549,77.85853721,77.12248114,77.93095735,77.62682126,77.86548569,77.69502272,77.66441949,76.88268303,75.40849653,74.63793709,74.26694622,73.843344,72.46946514,70.73572166,70.1930146,69.71379274,68.62112322,67.16129833,65.87488436,63.5652557,62.01364463,60.93025183,10.27316382,
Afghanistan,AFG,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,6.462682299,6.462682299,6.462550297,19.36913956,37.13506401,36.98602086,29.10440546,30.96941576,33.26831798,20.35015796,18.24713521,25.59924134,20.20204128,18.99136423,14.5385253,12.42176053,12.23873454,13.13541633,17.32800431,12.15964218,12.87621409,21.76552539,,,
Africa Western and Central,AFW,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,42.67142114,37.82403771,39.11373302,40.86525214,43.72662927,43.26222935,43.99657733,44.30984172,50.2126843,48.51007888,48.04818314,50.53434464,56.5949119,56.13526351,54.89444295,56.81429705,62.19175049,66.30195036,61.38276104,59.89103802,62.59873397,63.51276116,65.26603263,67.83409851,70.39865641,74.17891378,74.13780471,69.43399322,69.09001389,67.74965308,69.81013976,68.90256332,69.15058098,,
Angola,AGO,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,13.79310345,17.34475375,11.29883844,6.315789474,6.282722513,6.25,10.01945525,23.64746946,19.57511381,33.03370787,49.34256055,48.9010989,45.43909348,46.81704261,29.82612572,22.56351915,20.75092189,28.7654321,26.75882498,37.13878714,35.34593503,32.25349619,31.40077821,44.23974453,49.36322492,47.51955537,42.45819582,28.72706956,20.65616396,28.29030752,24.84392994,27.16615364,27.11412802,,
Albania,ALB,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,13.59223301,7.857517025,4.949911609,6.092377444,4.313625983,6.013860943,4.279505182,3.825554705,3.679780779,2.670841776,3.850983675,4.691689008,6.046013911,2.143429487,2.497324295,1.286055484,1.683562636,2.517482517,0,0.019223376,0.013213531,1.407778573,0,0,0,0,0,0,0,0,0,0,,,
Andorra,AND,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902889246,3.959191314,3.608540925,3.392922291,2.616617577,6.659609277,,,
Arab World,ARB,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,92.72776133,93.28130588,94.20961371,94.59458567,94.66262557,94.92033868,94.68424772,94.86598838,95.19460311,95.15374018,95.53908333,95.38150551,96.24318691,96.06647335,96.08580579,95.45195231,95.79102746,95.79918432,96.54757008,96.5991902,96.11166667,96.44157148,96.56513896,96.15775486,96.62768332,96.90958703,96.82617533,96.86303284,96.49812638,95.40758706,94.95404214,94.39029205,93.41588572,,
United Arab Emirates,ARE,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.99299867,99.98084067,99.97780849,99.97834724,99.92181463,99.74173066,99.76448977,99.7561973,99.44637655,99.1184731,97.35941179,94.91952516,89.05080106,81.76700678,,
Argentina,ARG,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,41.01815188,47.1632259,43.46989326,38.51809955,34.60706341,39.07652461,47.79567735,40.00689893,44.70431231,57.28154138,52.07542081,40.34429975,39.37237752,44.78148486,53.20854815,52.11073188,50.39402701,57.95939936,60.79785445,56.53545624,59.73415863,63.33915031,66.37610431,63.99434992,64.95424893,65.69815809,67.49015079,66.79986817,65.60422343,63.58066712,62.37491568,65.01674512,60.92004532,52.83583897,
